Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.55,-.39,-.26,-.37,-.11,-.23,-.24,-.25,-.27,-.32,-.37,-.49,-.32,***,***,-.25,-.24,-.32
1881,-.21,-.26,.00,-.03,-.07,-.37,-.07,-.04,-.24,-.41,-.43,-.29,-.20,-.22,-.32,-.03,-.16,-.36
1882,.21,.21,-.01,-.37,-.33,-.39,-.38,-.14,-.18,-.54,-.34,-.43,-.22,-.21,.04,-.24,-.31,-.35
1883,-.61,-.69,-.17,-.28,-.33,-.26,-.10,-.27,-.35,-.22,-.41,-.26,-.33,-.34,-.57,-.26,-.21,-.33
1884,-.23,-.12,-.66,-.63,-.43,-.53,-.49,-.51,-.45,-.41,-.48,-.40,-.45,-.43,-.20,-.57,-.51,-.45
1885,-1.01,-.37,-.21,-.54,-.56,-.48,-.39,-.45,-.33,-.31,-.28,.00,-.41,-.44,-.59,-.44,-.44,-.31
1886,-.68,-.68,-.58,-.35,-.35,-.44,-.20,-.47,-.35,-.32,-.45,-.18,-.42,-.41,-.46,-.43,-.37,-.37
1887,-1.07,-.58,-.36,-.42,-.27,-.20,-.23,-.51,-.17,-.41,-.19,-.44,-.40,-.38,-.61,-.35,-.31,-.26
1888,-.53,-.59,-.58,-.24,-.16,-.04,.03,-.20,-.13,.02,-.04,-.27,-.23,-.24,-.52,-.32,-.07,-.05
1889,-.32,.34,.06,.15,-.05,-.13,-.10,-.16,-.26,-.34,-.61,-.56,-.17,-.14,-.08,.05,-.13,-.41
1890,-.65,-.56,-.43,-.36,-.48,-.20,-.23,-.37,-.40,-.08,-.70,-.44,-.41,-.42,-.59,-.43,-.27,-.39
1891,-.60,-.69,-.13,-.33,-.22,-.16,-.14,-.09,-.03,-.27,-.56,-.03,-.27,-.31,-.58,-.23,-.13,-.29
1892,-.46,-.16,-.56,-.48,-.27,-.10,-.38,-.28,-.12,-.22,-.80,-.65,-.37,-.32,-.22,-.44,-.25,-.38
1893,-1.47,-.89,-.28,-.29,-.43,-.20,-.12,-.33,-.22,-.23,-.25,-.64,-.45,-.45,-1.00,-.33,-.22,-.23
1894,-.87,-.43,-.21,-.59,-.33,-.48,-.24,-.22,-.26,-.24,-.47,-.31,-.39,-.41,-.64,-.38,-.31,-.32
1895,-.73,-.76,-.38,-.23,-.30,-.25,-.18,-.24,.03,-.04,-.05,-.24,-.28,-.29,-.60,-.30,-.22,-.02
1896,-.44,-.21,-.49,-.60,-.22,.02,-.02,-.06,-.05,.15,-.25,-.18,-.19,-.20,-.29,-.43,-.02,-.05
1897,-.37,-.34,-.38,-.05,.07,-.13,-.01,-.09,-.03,-.13,-.25,-.28,-.17,-.16,-.30,-.12,-.07,-.14
1898,.03,-.45,-.77,-.30,-.30,-.11,-.14,-.15,-.16,-.34,-.45,-.26,-.28,-.28,-.23,-.46,-.13,-.32
1899,-.13,-.66,-.52,-.20,-.26,-.38,-.19,-.03,.01,.07,.38,-.48,-.20,-.18,-.35,-.33,-.20,.15
1900,-.60,-.05,.12,-.14,-.03,-.14,-.13,-.07,.03,.25,-.15,.00,-.08,-.12,-.38,-.02,-.11,.04
1901,-.34,.07,.35,.11,-.11,.04,.02,-.13,-.26,-.31,-.20,-.40,-.10,-.06,-.09,.12,-.02,-.26
1902,-.17,.10,-.38,-.41,-.45,-.45,-.32,-.31,-.32,-.33,-.51,-.65,-.35,-.33,-.15,-.41,-.36,-.39
1903,-.24,.18,-.13,-.48,-.50,-.52,-.46,-.58,-.47,-.48,-.44,-.57,-.39,-.40,-.24,-.37,-.52,-.46
1904,-.83,-.59,-.42,-.56,-.49,-.51,-.61,-.53,-.57,-.38,-.12,-.35,-.50,-.51,-.66,-.49,-.55,-.35
1905,-.50,-.81,-.24,-.46,-.33,-.33,-.24,-.24,-.14,-.25,.06,-.26,-.31,-.32,-.55,-.34,-.27,-.11
1906,-.55,-.58,-.18,.05,-.24,-.10,-.28,-.13,-.20,-.15,-.39,.01,-.23,-.25,-.46,-.12,-.17,-.25
1907,-.54,-.72,-.27,-.47,-.61,-.51,-.41,-.36,-.36,-.19,-.59,-.59,-.47,-.42,-.42,-.45,-.43,-.38
