Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.02,.04,.06,-.01,-.11,-.23,-.17,.07,-.04,-.13,-.01,.05,-.04,***,***,-.02,-.11,-.06
1881,-.10,-.08,.07,.11,.10,-.03,-.06,-.01,-.03,-.01,.00,.07,.00,.00,-.04,.09,-.03,-.02
1882,.07,.08,.08,.00,.01,-.13,-.03,.04,-.02,.03,.01,-.07,.01,.02,.08,.03,-.04,.01
1883,-.03,-.10,-.08,-.06,-.07,.02,-.05,-.03,-.07,-.05,-.03,-.05,-.05,-.05,-.07,-.07,-.02,-.05
1884,-.07,-.04,-.09,-.22,-.31,-.29,-.21,-.02,-.09,-.07,-.12,-.16,-.14,-.13,-.05,-.20,-.17,-.09
1885,-.19,-.23,-.29,-.32,-.29,-.41,-.32,-.18,-.15,-.10,-.12,-.10,-.22,-.23,-.19,-.30,-.30,-.12
1886,-.17,-.23,-.20,-.21,-.17,-.34,-.23,-.20,-.16,-.24,-.17,-.33,-.22,-.20,-.16,-.19,-.26,-.19
1887,-.38,-.46,-.30,-.34,-.35,-.26,-.23,-.12,-.26,-.23,-.26,-.23,-.28,-.29,-.39,-.33,-.20,-.25
1888,-.22,-.13,-.25,-.20,-.28,-.31,-.21,-.11,-.06,.02,.06,.14,-.13,-.16,-.19,-.24,-.21,.01
1889,.08,.03,.09,.01,.01,-.13,-.09,-.21,-.16,-.10,-.05,-.03,-.05,-.03,.08,.04,-.15,-.11
1890,-.23,-.33,-.35,-.36,-.42,-.32,-.28,-.37,-.38,-.39,-.27,-.19,-.32,-.31,-.20,-.38,-.32,-.34
1891,-.23,-.26,-.24,-.22,-.15,-.25,-.26,-.22,-.24,-.16,-.13,-.05,-.20,-.21,-.22,-.20,-.24,-.18
1892,-.11,-.07,-.14,-.21,-.21,-.35,-.27,-.21,-.13,-.02,-.03,-.13,-.16,-.15,-.07,-.19,-.28,-.06
1893,-.13,-.19,-.17,-.29,-.28,-.35,-.19,-.20,-.18,-.09,-.07,-.06,-.18,-.19,-.15,-.25,-.24,-.12
1894,-.20,-.23,-.28,-.36,-.35,-.39,-.27,-.21,-.22,-.16,-.03,-.08,-.23,-.23,-.16,-.33,-.29,-.14
